Date first seen,Date last seen,Proto,Src IP Addr,Dst IP Addr,Src Pt,Dst Pt,In Pkt,In Byte
2023-06-28 19:57:33.672,2023-06-28 20:00:22.247,ICMP ,        10.0.2.4,        10.0.4.4,0,   0.0,9,882
2023-06-28 19:57:33.672,2023-06-28 20:00:22.243,ICMP ,        10.0.4.4,        10.0.2.4,0,   8.0,9,882
2023-06-28 20:00:23.248,2023-06-28 20:00:28.263,ICMP ,        10.0.2.4,        10.0.4.4,0,   0.0,6,588
2023-06-28 20:00:23.249,2023-06-28 20:00:33.271,ICMP ,        10.0.4.4,        10.0.2.4,0,   8.0,11,1078
2023-06-28 20:00:29.268,2023-06-28 20:00:39.283,ICMP ,        10.0.2.4,        10.0.4.4,0,   0.0,11,1078
2023-06-28 20:00:23.249,2023-06-28 20:00:43.306,ICMP ,        10.0.4.4,        10.0.2.4,0,   8.0,10,980
2023-06-28 20:00:29.268,2023-06-28 20:00:49.331,ICMP ,        10.0.2.4,        10.0.4.4,0,   0.0,10,980
2023-06-28 20:00:43.668,2023-06-28 20:00:53.668,TCP  ,        10.0.4.4,        10.0.2.4,0,8000,31,1860
2023-06-28 20:00:23.249,2023-06-28 20:00:53.339,ICMP ,        10.0.4.4,        10.0.2.4,0,   8.0,10,980
2023-06-28 20:00:29.267,2023-06-28 20:00:59.373,ICMP ,        10.0.2.4,        10.0.4.4,0,   0.0,10,980
2023-06-28 20:00:43.667,2023-06-28 20:01:03.668,TCP  ,        10.0.4.4,        10.0.2.4,0,8000,30,1800
2023-06-28 20:00:23.248,2023-06-28 20:01:03.411,ICMP ,        10.0.4.4,        10.0.2.4,0,   8.0,10,980
2023-06-28 20:00:29.268,2023-06-28 20:01:09.442,ICMP ,        10.0.2.4,        10.0.4.4,0,   0.0,10,980
2023-06-28 20:00:43.668,2023-06-28 20:01:13.337,TCP  ,        10.0.4.4,        10.0.2.4,0,8000,29,1740
2023-06-28 20:00:23.249,2023-06-28 20:01:13.473,ICMP ,        10.0.4.4,        10.0.2.4,0,   8.0,10,980
2023-06-28 20:00:29.268,2023-06-28 20:01:19.509,ICMP ,        10.0.2.4,        10.0.4.4,0,   0.0,10,980
2023-06-28 20:00:43.668,2023-06-28 20:01:23.335,TCP  ,        10.0.4.4,        10.0.2.4,0,8000,30,1800
2023-06-28 20:00:23.249,2023-06-28 20:01:23.519,ICMP ,        10.0.4.4,        10.0.2.4,0,   8.0,10,980
2023-06-28 20:00:29.267,2023-06-28 20:01:29.538,ICMP ,        10.0.2.4,        10.0.4.4,0,   0.0,10,980
2023-06-28 20:00:43.668,2023-06-28 20:01:33.335,TCP  ,        10.0.4.4,        10.0.2.4,0,8000,30,1800
2023-06-28 20:00:23.249,2023-06-28 20:01:33.555,ICMP ,        10.0.4.4,        10.0.2.4,0,   8.0,10,980
2023-06-28 20:00:29.268,2023-06-28 20:01:38.611,ICMP ,        10.0.2.4,        10.0.4.4,0,   0.0,9,882
2023-06-28 20:00:43.668,2023-06-28 20:01:43.002,TCP  ,        10.0.4.4,        10.0.2.4,0,8000,29,1740
2023-06-28 20:00:23.249,2023-06-28 20:01:42.634,ICMP ,        10.0.4.4,        10.0.2.4,0,   8.0,9,882
2023-06-28 20:00:29.268,2023-06-28 20:01:48.672,ICMP ,        10.0.2.4,        10.0.4.4,0,   0.0,10,980
2023-06-28 20:00:23.249,2023-06-28 20:01:52.705,ICMP ,        10.0.4.4,        10.0.2.4,0,   8.0,10,980
2023-06-28 20:00:29.268,2023-06-28 20:01:58.740,ICMP ,        10.0.2.4,        10.0.4.4,0,   0.0,10,980
2023-06-28 20:00:23.249,2023-06-28 20:02:02.774,ICMP ,        10.0.4.4,        10.0.2.4,0,   8.0,10,980
2023-06-28 20:00:29.267,2023-06-28 20:02:08.804,ICMP ,        10.0.2.4,        10.0.4.4,0,   0.0,10,980
2023-06-28 20:00:23.249,2023-06-28 20:02:12.837,ICMP ,        10.0.4.4,        10.0.2.4,0,   8.0,10,980
2023-06-28 20:00:29.267,2023-06-28 20:02:18.865,ICMP ,        10.0.2.4,        10.0.4.4,0,   0.0,10,980
2023-06-28 20:00:23.249,2023-06-28 20:02:22.897,ICMP ,        10.0.4.4,        10.0.2.4,0,   8.0,10,980
2023-06-28 20:02:14.711,2023-06-28 20:02:24.708,TCP  ,        10.0.4.4,        10.0.2.4,0,8000,31,1860
2023-06-28 20:00:29.268,2023-06-28 20:02:28.940,ICMP ,        10.0.2.4,        10.0.4.4,0,   0.0,10,980
2023-06-28 20:02:14.710,2023-06-28 20:02:32.708,TCP  ,        10.0.4.4,        10.0.2.4,0,8000,24,1440
2023-06-28 20:00:29.267,2023-06-28 20:02:32.964,ICMP ,        10.0.2.4,        10.0.4.4,0,   0.0,4,392
2023-06-28 20:00:23.248,2023-06-28 20:02:32.964,ICMP ,        10.0.4.4,        10.0.2.4,0,   8.0,10,980
2023-06-28 20:02:33.376,2023-06-28 20:02:44.043,TCP  ,        10.0.4.4,        10.0.2.4,0,8000,33,1980
2023-06-28 20:02:33.970,2023-06-28 20:02:44.011,ICMP ,        10.0.2.4,        10.0.4.4,0,   0.0,11,1078
2023-06-28 20:02:33.970,2023-06-28 20:02:44.011,ICMP ,        10.0.4.4,        10.0.2.4,0,   8.0,11,1078
2023-06-28 20:02:33.376,2023-06-28 20:02:52.047,TCP  ,        10.0.4.4,        10.0.2.4,0,8000,24,1440
